problem,reasoning,program
Prove that there exist two distinct integers x and y such that x + y = 5,"Using QF_UF with constraints x >= 0, y <= 5, and x + y = 5, derive the existence of a solution.",declare-const x :: int; declare-const y :: int;\nset-logic QF_UF\nassert (x > 0 && y > 0);\nassert (x + y = 5);
Prove that it is not possible to construct a directed acyclic graph (DAG) with more than 5 nodes and 10 edges.,"This can be proven using the properties of finite state machines, specifically the pumping lemma for regular languages. The pumping lemma states that there exists a positive integer k such that any string s in the language must contain at least one character that appears at least k times in blocks of length at most 2k.",set-logic QF_UF\n\n  declare-const nodes_num  int;\n  declare-const edges_num  int;\n\n  assert (nodes_num <= 5 && edges_num <= 10);
Prove that there exists an integer x such that x^2 + 4 = 8 and x^2 - 3 < 0.,"This problem can be solved using the QF_UF rule, which states that for any formula f(X) of type 'quantifier-free' with one free variable X, we have either f(X) or ¬f(X). We will use this rule to derive a contradiction. First, we show that 3^2 - 4 = 5 and 3^2 + 4 > 8. Then, we can conclude that there exists an integer x such that x^2 < 0.",set-logic QF_UF\ndeclare-const x: Int\nassert (x^2 + 4 = 8)\nassert (x^2 - 3 < 0)
Prove that 'John' is not equal to 'Alice',Use QF_UF with set-logic and assert constraints.,declare var john int; declare var alice int; (set-logic QF_UF) (assert john != alice);
Prove that there exists an integer $x$ such that x^2 + 3x - 4 = 0,"The quadratic equation has at least one real root according to the Fundamental Theorem of Algebra, and we can show this by attempting to solve it manually.",declare-const x : int; (set-logic QF_UF); (set-logic QL); (assert (x^2 + 3*x - 4 = 0)); (check-sat)
Prove that there exists an integer x such that x > 0 and (x + 1) mod 3 = 2,"Using the properties of modular arithmetic, we can derive that if x is positive, then (x + 1) mod 3 must be equal to 2. This implies that there exists a unique integer solution for x.",declare-const x : int; assert (x > 0); check-sat
The relationship between 'student_id' and 'course_id' in the student-course table is that it is an one-to-many relationship.,(set-logic QF_UF)   (declare-const student_course_rel:bool)  (declare-const course_student_rel:bool)  (assert (forall x:(student_course_rel|course_student_rel)) (not ((course_student_rel|x) | (student_course_rel|x)))  (check-sat),(set-logic QF_UF)\n (declare-const student_course_rel:bool)\n (declare-const course_student_rel:bool)\n (assert (forall x:(student_course_rel|course_student_rel)) (not ((course_student_rel|x) | (student_course_rel|x)))\n (check-sat)
Prove that a person is either married to their spouse or single.,Use QF_UF and QF_LIA rules to derive this statement.,(set-logic QF_UF) \n (declare-const X: bool)\n (declare-const Y: bool)\n (assert (and (\n (not (eq X Y))\n (or (eq X true) (eq Y false)))\n (check-sat))
Prove that John and Mary are married.,"(set-logic QF_UF) (declare-const John mary : pair (string , string)) (assert (John mary) (check-sat)","int x; \nbool y = x == 'Mary'\n\n(int x, bool y) : pair (x, y); \nassert (x > 0)\ncheck-sat"
Prove that a person is not married to themselves.,(not (set-of-facts (set-of-constants 'x) (set-of-constants 'y))),declare-datatypes ((x: Nat); (y: Nat));\nassert((x <> y));\nset-of-facts((y = x))
"Prove that for all integers n >= 2, (1 + n) mod 3 = 0.",This statement can be proven using the properties of modular arithmetic and the fact that 1 + n is always even when n is odd or a multiple of 4.,"set-logic QF_UF\n\ndefine-functor Add (n: int -> int) (\n  value = if n % 2 == 0 then n / 2 else n - 1 \n)\n\ndefunctor Not (value: int -> bool) (\n  value = negate value\n)\n\ndefunctor And (values: (int -> bool) * (int -> bool)) (\n  values = map (functor Add) values\n)\ndeclare-const EQ = not (And (\n  Not (\n    And (Add 1 n), Add n 0)))\nassert EQ"
Prove that there are at least two distinct social connections between individuals in a small community.,"Use QF_UF and QF_LIA rules to derive the existence of at least two distinct social connections, given the following assumptions: people have no social connections with themselves, people can be connected by exactly one other person, people cannot be connected by multiple people.","set-logic QF_UF\nset-logic QF_LIA\ndeclare-const people (People : set of Person)\ndeclare-const connections (Connections : set of Pair <Person , Person>)\nassert - (exists p1 : Person) \nand  (\n  \n  \n  (forAll :people p1)\n  (forall :p2 p3 :person (\n  (and > > p1 p2)\n  (not = p1 p3)))))\ncheck-sat"
"Verify that the following relation holds: (x, y) <- (x, z) && (y, z)",Use QF_UF and QF_LIA rules to derive the implication.,"set-logic QF_UF\n\n\n\ndeclare-const x : real\n\ndeclare-const y : real\n\ndeclare-const z : real\n\nassert (x, y) <= x + y && z >= 0\n\ncheck-sat"
Prove that there are at least two distinct friends of Alice.,(set-logic QF_UF) (declare-const A1 integer) (A1 = 0) (assert (A1 >= 2)) (check-sat),introduce (set (A1)\n(A1 = 0)\nassert (>= 2) (\n(A1)\n))\n(declare-const A2 integer)\n(A2 = !A1)\n(assert (A2 != A1))\n(check-sat)
Prove that it is impossible to have two people who are friends with each other,"{'description': 'Use QF_UF and set-logic to model this relationship.', 'smtlib': 'set-logic QF_UF\ndeclare-const Alice:Int\ndeclare-const Bob:Int'}",set-logic QF_UF\ndeclare-const Alice:Int\ndeclare-const Bob:Int\nassert (Alice = Bob)\ncheck-sat
"Given the following social network structure: [1, 2; 2, 3; 3, 4], define the minimum number of friendships required to satisfy all constraints.","To solve this problem, we can use QF_LIA with a set of constraints that enforce the presence of at least one friendship between each pair of nodes in the network. We can then check if the resulting model is satisfiable using check-sat.","declare-const n int; declare-const e int[]; declare-const f bool[2]; e #([a, b] -> 1) = [(n = a), (n = b)] | [(n = a), (e = 0); (n = b), (e = 0)]; f [a, b] = true"
Prove that any two people are connected in a social network,Use QF_UF and QF_LIA rules to reason about graph connectivity,declare-const people (int); declare-const edges (set of (pair int int)); assert (edges (person A person B) -> people A = people B); check-sat
Verify that a social relationship graph is consistent.,{   (set-logic QF_UF)   (declare-const person1 person2 : FRIENDS)   (assert (forall (x person)         (           (person1 x)                        (person2 x))         (not (eq x x)))   ),\n\ndeclare-const person1 person2 : FRIENDS;\n\nassert (forall (x person) \n       (\n         (person1 x) \n          (person2 x)) \n       (not (eq x x));\n)
Prove that two people are friends if and only if they share a common interest.,"Use QF_UF to combine two literals representing friendship and two literals representing shared interests, then use assert to prove that the first literal is true if and only if the second literal is true. Finally, check-sat to verify that the system satisfiable.","\set-logic QF_UF\ \declare-const friends\(a,b)\ \assert\(friend(a,b) \\ check-sat"
Determine whether a person is married to their spouse,Use QF_LIA and (set-logic QF_UF) with valid constraints to prove that a person is not married to their spouse.,declare-const \n    G: Person;\n    S: Person;\n    M: Marriage;\n\nassert\n    (forall x : Person)\n    (\n        (G = x) ->\n            (S <> x) ->\n                (M <> x))\n\ncheck-sat
Prove that there does not exist an integer x such that x^2 + 1 = 0,"This statement can be proven using the QF_LIA theory, specifically by assuming x is an integer and then deriving a contradiction.",set-logic QF_UF\ndeclare-const x : int\nassert (x^2 + 1 = 0)\ncheck-sat
Prove that John is not married to Mary,"To prove this, we can use QF_UF and QF_LIA constraints.",(set-logic QF_UF\n (declare-const J : bool)\n (declare-const M : bool))\n (assert (not (and (J = true) (M = false)))\n (check-sat))
"Prove that if person A is friends with person B and person C, then person A and person C are connected by a friendship chain",Use QF_UF to represent friendships between people and QF_LIA to ensure the structure of the friendship graph is consistent.,set-logic QF_UF\ndeclare-const A: set-person\ndeclare-const B: set-person\ndeclare-const C: set-person\nassert (A ∩ B = C)\ncheck-sat
Determine if all people in a social network have at least one friend.,"Use QF_UF and assert statements to model relationships between individuals, then use the check-sat solver to verify validity.",\(set-logic QF_UF\) \(declare-const P (Person | Person)\) \(declare-const F (Person | Friend)\) \(assert \((forall x (P x) \(exists y (P y) \(and F x y)) \))\)
Modeling a social constraint between two people where one person has a conflicting appointment with another,"Use the QF_UF and QF_LIA rules to enforce that the appointments are always mutually exclusive, and the conflicting appointment is only possible if both parties have available time.",\[\(set-logic QF_UF \n\n)(declare-const A:bool \n\ndomain P \n)(declare-const B:bool \n)(declare-const C:bool \n)(declare-const D:bool \n)(assert (A && !B) \n)(assert (C || D) \n)(check-sat)
Prove that there exist two distinct integers x and y such that x > y and x + y = 2.,"This problem can be solved using the QF_UF and QF_LIA logic extensions to SMT-LIB. Specifically, we need to use a set of constraints to enforce the inequality x > y and the equality x + y = 2. A possible solution is to use the following constraints: (set-logic QF_UF) (declare-const x int) (declare-const y int) (assert (x > y)) (assert (x + y = 2)).","smt2 -o problem.mps --query-solver auto ""solve (set-logic qf uf set-logic qf lia assert (set-logic uff) (declare-const x int) (declare-const y int) (assert (x > y)) (assert (x + y = 2)); (check-sat); return-solver output"""
Prove that any set of integers from 1 to N has an even number as its middle element,Use QF_LIA and the set-logic QF_UF to prove this statement. Utilize integer constraints to ensure the existence of such a middle element.,\n\n(\n  \n    (set-logic QF_UF)\n  \n    (declare-const N int)\n  \n    (assert (< 1 N))\n  \n    (assert (= (mod (last (sorted (list (random-int 10 N))) (head (sorted (list (random-int 1000 N)))) 2) 0)))\n  \n    (check-sat))\n
Prove that there exist two people in a social network such that they are friends and not spouses.,"Use QF_UF with constraints on friendships and non-spousality, then add an assumption about the existence of at least one pair of people who could be friends but not spouses.",declare-const person1 person2 person3\nassert (set-logic QF_UF)\n  \n  declare-const friend1 person1 person2\n  declare-const non_spouse1 person1 person3\n  declare-const non_spouse2 person2 person3\n  assert (and (friend1 person1 person2) (non_spouse1 person1 person3))\n  assert (and (friend1 person2 person3) (non_spouse2 person2 person3))
Prove that there does not exist an integer k such that k^2 + 5k - 6 = 0,(assert (integer s) (> 0 ? 1 : 2)) (assert (syms x k real) > 0) (assert (satisfies (e (univariate x) (- 6 x 6 k^2 + 5 k))) > 0) ((set-logic QF_UF) (declare-const s real)) ((check-sat)),smt2 --out-of-file problem.smt
Determine whether it is possible to construct a social network where all individuals are connected and no two individuals are friends,"The graph of friendships can be represented as an undirected graph with weighted edges, where each edge has a weight representing the strength of the friendship. A valid solution would require that there is at least one strongly connected component in the graph.",\n\n\n%require QuasiFiniteFalsification\n\n%define domain social\n%define const n: int > 0\n%declare variable G: social \n%declare constant INF: real > 0\n\n%init G::n = 5\n\n%assert G.n == 5\n%check-sat
"Prove that if Alice is friends with Bob and Bob is friends with Charlie, then Alice is friends with Charlie",Use QF_UF with constraints that express the friendship relationships as valid integer solutions. Ensure the model is satisfiable by checking for consistency.,"\left(#\text{set-logic }QF_UF\\n# \text{declare-const Alice = {0: true, 1: false}\\n# \text{declare-const Bob = {0: false, 1: true}\\n# \text{declare-const Charlie = {0: false, 1: true}}\\n# \text{assert (Bob = Alice)}\\n# \text{assert (Charlie = Bob)}\\n# \text{check-sat}\n\right)"
Prove the following sentence is valid in QF_UF,Use the set-logic QF_UF and assert statements to derive the sentence.,set-logic QF_UF\n\ndefine-your-variables\nassert (z = 5)\ncheck-sat
"Given a person A with age 25 and friend B, prove that if A's friends are all friends of C then A is friends of B.",(declare-const A Person (0: 1) (declare-const B Person (0: 1) (declare-const C Person (0: 1))  (   (            (forall x (Person (x)) (         (set-of y (Set-of-z) z)))        ) )  (   (assert (or (A= B) (All-of-A-Friend-Of-B-C A C)))),smt2 --lang clpfd --output-file person_friends.SML
Social Network Problem: Find all pairs of friends,Use QF_UF to model friendships and SAT to solve the problem exactly,\n\n(set-logic QF_UF)\n\n(declare-const \n friendship (Person & Person) & false)\n\n(assert \n (friendship \n (\n  (Person A \n    (Person B)\n   ) \n  (Person C \n    (Person D)) \n))\n\n(check-sat)
"Prove that if person1 is friends with person2 and person3, then person4 is not friends with person5.","{'method': 'existential', 'variables': ['person1', 'person2', 'person3', 'person4', 'person5'], 'constraints': ['(set-logic QF_UF)\n\n', '(declare-const person1 person1)\n', '(declare-const person2 person2)\n', '(declare-const person3 person3)\n', '(assert (person1 <> person2))\n', '(assert (person1 <> person3))\n', '(assert (not (person4 <>) (person5 <)))']}",// SMT-LIB code
The relationship 'John Doe' and 'Jane Smith' are friends.,"To verify this statement, we can use the QF_UF (Universal Forcing) logic with a set of constraints involving relationships between individuals. We will also utilize the assert clause to enforce the validity of the given statements.",set-logic QF_UF\ndeclare-const john_doe: string\ndeclare-const jane_smith: string\nassert (john_doe <> jane_smith)\ncheck-sat
The given social network of friends has exactly 5 people.,"A person can only be friends with themselves, and no one is friends with each other if their number of friends is odd. This means that the total number of pairs of friends should equal half of 15 (the total number of people).",\(set-logic QF_UF \n\n\nassert (QF_LIA) \n\n\ncheck-sat
Prove that there exists an integer x such that x + 1 = 2x,Use the QF_UF and QF_LIA rules to derive the desired consequence.,set-logic QF_UF\nset-logic QF_LIA\ndeclare-const x : integer\nassert (x + 1 = 2*x)\ncheck-sat
"Prove that there are no cycles in the graph G = ({a, b, c}, R), where R is an undirected relation and 'a' and 'b' are related to each other, but not both.","Use QF_UF and set-logic to reason about the satisfiability of this graph. Assume X = {a, b} such that X ⊆ G. Prove by contradiction that there exists a path from a to c in G if and only if for all y ∈ X, (y, x) ∈ R.",satisfy 'G' QF_UF
Pigeonhole Principle,"Given n pigeons and m pigeonholes, show that at least one pigeonhole must contain more than one pigeon.","declare-const n : int;\ndeclare-const m : int;\nset-logic QF_UF;\nintroduce p1, ..., pn;\npset-pi p1.n; \npset-pi p2.n; ... \npset-pi pn.n;\nassert (or (forall i, p1.i = i) (forall i, p2.i = i) (forall i, p3.i = i));\ncheck-sat"
"The following social relationship constraint is valid: P(x, y) |= Q(x, z), where P, Q are predicates and x, y, z are atoms.","To prove the validity of this constraint, we need to show that it is satisfiable using a finite model.","(set-logic QF_UF\n  (declare-const P atom)\n  (declare-const Q atom)\n  (declare-const x atom)\n  (declare-const y atom)\n  (declare-const z atom)\n  (assert P(x, y) |= Q(x, z)))"
Verify that a social constraint involving two individuals and their relationships holds true,{'method': 'existential quantification'},(set-logic QF_UF\n  (declare-const A B C D E F G H I J K L\n  assert (and (\n    (set-xi A 1)\n    (set-xi B 2)\n    (set-xi C 3)\n    (set-xi D 4)\n    (set-xi E 5)\n    (set-xi F 6)\n    (set-xi G 7)\n    (set-xi H 8)\n    (set-xi I 9)\n    (set-xi J 10)\n    (set-xi K 11)\n    (set-xi L 12)))
Prove that all employees in the company are working,"Using set-logic QF_UF and QF_LIA, derive the following implications: (set-of-people employee1 ... employee5) => (work(employee1, employee2), work(employee3, employee4), work(employee5, employee6))","set-of-people employee1 employee2 ..., set-of-people employee5 employee6; assert work(employee1 employee2); assert work(employee3 employee4); assert work(employee5 employee6)"
Prove that John and Mary are married,(set-logic QF_UF) (declare-const John mary : bool) (assert (== John mary)) (check-sat),int x; int y;\n(int x = 5) && (int y = 10);
"Prove that if person1 is friends with person2, and person2 is friends with person3, then person1 is friends with person3.",Use the transitive property of friendship to prove this implication.,set-logic QF_UF\ndeclare-const person1 : Person;\ndeclare-const person2 : Person;\ndeclare-const person3 : Person;\nassert (person1 ~ person2);\nassert (person2 ~ person3);\ncheck-sat
Prove that a person is either in their hometown or not.,This can be represented as a disjunction of two constraints: (set-of-variables-person home-town) and (not-set-of-variables-person elsewhere).,\(set-of-variables-person home-town \| \| set-of-variables-person elsewhere \; assert \(home-town = true \; or \| \| not-set-of-variables-person elsewhere \; check-sat)
Find all pairs of people in a social network where one person is friends with another.,Use QF_UF to model friendship relationships and check-sat to solve the problem,"set-logic QF_UF\n\ndefine-person x\ndefine-person y\nassert x != y\nassert (friend(x, y))\ncheck-sat"
Prove that any person is either a student or an employee of the same company.,{   (set-logic QF_UF)   (declare-const C (Symbol('Company'))   (declare-const S (Symbol('Student'))   (declare-const E (Symbol('Employee'))   (assert (not (or (= C S) (= C E))))   (assert (not (and (= S C) (= E C)))   (assert (not (or (= S E) (= C E)))))   (check-sat) },π
Prove that a person is either married to their spouse or not married at all,"Use QF_UF and assert variables for marriage status, then check-sat",declare-const M: Boolean; M := (set-logic QF_UF\n  declare-const S: Boolean;\n  S := (assert (not (set-share M S))\n    (assert (S \n      and (\n        set-share M (negation S)\n        negation S)))\n    (check-sat))\n)
Prove that John and Mary have different favorite sports.,"Use QF_UF with (set-logic QF_UF) to express the relationship between two individuals. Then, use (assert ...) to assert a specific property about their preferences. Finally, check-sat to prove this property holds true.","set-of-integers x y; set-of-integers z; (set-logic QF_UF) (declare-const john-favorite-sports {0..2} : set-of-integers); (declare-const mary-favorite-sports {3..5} : set-of-integers); assert (z = {0, 1, 4}) (check-sat)"
Prove that John and Alice are friends.,(john = alice) -> (friend john alicia),"$proofmode; set-logic QF_UF; \n\ndeclare-const john Nat: {0: 1, 1: 2};\n\ndeclare-const alice Nat: {0: 3, 1: 4};\n\nassert (john = alice); \n\ncheck-sat;"
Find all pairs of people who have never met,"Use QF_UF and QL_NAT to model social relationships, then use the   check-sat clause to solve the system.",\n(\n  (set-logic QF_UF)\n  \n  (declare-const A B C D E F G H I J K L M N O P Q R S T U V W X Y Z).\n  \n  (assert (for-all \n    x (for-all y (not (eqv? x y))))\n  \n  (assert (for-all \n    z (for-all w (and (eqv? z w) (neq. z w)))))\n  \n  (check-sat)
A university has two social constraints regarding friendships between students.,These constraints can be represented using QF_UF and QF_LIA axioms.,\n\n\n\n\n\n\nset-logic (UF UF)\n\n\n\n\n\nassert \n(\nyin x:student \nyin y:student \nx \ngeq y \\ ny \ngeq x))\n\n\n\n\n\ncheck-sat
Prove that a person is either in the US or has a valid US driver's license.,Use QF_LIA and assert that the person is in the US or their driver's license is valid.,declare-const person \n	named 'John'\n\ndeclare-const us \n	named 'USA'\n\n( set-logic QF_UF )\n\n( declare-const has_driver_license \n\ntype of \n\n  US | true)\n\n( assert ( not ( or \n\n  ( has_driver_license person) \n\n  ( not has_driver_license person)) ) \n\n  ( check-sat ) )
Prove that a person is either married or single.,"To prove this, we can use QF_UF (Unifiable Foreach) to check if there exists an assignment of integers 0 and 1 where each variable appears exactly once in the formulas. If such an assignment exists, then both 'married' and 'single' are satisfied.",(set-logic QF_UF)\n\n(declare-const M person ((int) :value (true)))\n\n(assert (not (= M single))))\n\n(check-sat)
The set of all even numbers,"To prove that every positive even integer is either divisible by 2 or has at least one factor of 3, we can use the following rules: (set-logic QF_UF) (declare-const P PosInt) (assert (forall (x PosInt) (even x)) (or (= (div x 2) 0) (= x 0))) (declare-const F PosInt) (assert (for-all (x PosInt) (not (and (= x 0) (= F x)))) (declare-const Z PosInt) (assert (forall (x PosInt) (or (= x P) (= x Z))))",set-logic QF_UF\n\n(declare-const P PosInt)\n(declare-const F PosInt)\n(declare-const Z PosInt)\n(assert (for-all (x PosInt) (not (and (= x 0) (= F x))))\n(assert (forall (x PosInt) (or (= x P) (= x Z))))\n(check-sat)
Prove that every person has at least one friend,Use QF_LIA and QF_UF to model the friendship relationship between people,"set-logic QF_LIA\nset-logic QF_UF\ndeclare-const P: set of person\ndeclare-const F: set of person\ndefine-friendship-R: set of pair(P, P)\ndefine-union-F: union(R, F)\nassert (friend-of-one): for p in P assert exists q in P such that friend(p, q) \ncheck-sat"
Prove that John is taller than Mary,Use set-logic QF_UF and assert linear combinations of height (John's age - Mary's age) <= 0 to prove John is taller.,(set-logic QF_UF\n  (declare-const John_age int)\n  (declare-const Mary_age int)\n  (assert (>= John_age Mary_age + 1))\n  (check-sat))
Satisfies QF_UF rule with a valid JSON payload,"{'solver': 'CPVEX', 'input': '{""solution"": ""1"", ""constraints"": [""x + y = 2""]}', 'expected_solution': '[0, 3]'}",set-logic QF_UF\n\ndefine-const x 1\ndefine-const y 2\nassert (set-logical x y = 2)\ncheck-sat
"The social network has a relationship between John and Alice, but they are not friends.","{'constraints': ['(set-logic QF_UF)\n', '(declare-const person1 person2)\n', '(assert (not (person1 = person2)))\n', '(check-sat)']}","int person1, person2"
\(set-logic QF_UF\) \(declare-const x = 5\) \(assert \((\u'== 4\)\)),This proof uses QF_UF to prove a simple equality and QF_LIA to derive the truth of the assertion.,\(set-logic QF_UF\) \(declare-const x = 5\) \(assert \((\u'== 4\)\))
The relationship 'Alice is a friend of Bob' must be satisfied.,"This can be achieved using QF_UF with two variables x and y, where x represents Alice and y represents Bob, and asserting that x == y.",(set-logic QF_UF\n (declare-const x Int\n (declare-const y Int)\n (assert (x = y)))\n (check-sat)
The relationship between John and Alice is that they are first cousins.,"This can be represented using QF_UF with a set of clauses, where each clause asserts a unique relationship between two individuals.",set-logic QF_UF\n(declare-const john int)\n(declare-const alice int)\n(assert (john = alice))\n(check-sat)
Prove that there is no social network with more than 10 friends,Use QF_UF and set-logic QF_LIA to constrain the number of friends in each person.,"(set-logic QF_UF)\n\n(declare-const N (int))\n(assert: (forall x y z | N = (x, y, z)))\n(check-sat)"
The relationship between person A and person B is that they are friends.,This can be expressed as (set-logic QF_UF)      (declare-const personA personA   declare-const personB personB   assert (personA == personB))   (assert (not (personA != personB))),\u{03C0}\u{03A9}\u{03C4} \u{2037} \u{202F} # SMT-LIB code here
\(set-of\(\{x| x #= 1\} \) && \(set-of\(\{y| y #!= 2 && !x || y #<= 3\} \))\),\(declare-const x 1; \(declare-const y 2; \(assert (xor (and (not (eq x 1) (neq x 2)) (not (eq x 1) (lt x 3))) (and (neq x 1) (gt x 3)));\),\(set-of\(\{x| x #= 1\} \) && \(set-of\(\{y| y #!= 2 && !x || y #<= 3\} \))\)
Prove that there exists an integer x such that 2*x + 3 >= 5 and x^2 <= 4,Use QF_UF to model the system of linear inequalities: 2x + 3 >= 5 --> 2x >= 2 --> x >= 1; x^2 <= 4 --> x <= -2,set-logic QF_UF\ndeclare-const x : int\nassert 2*x + 3 >= 5\ncheck-sat
"Prove that for all integers x and y, if x > y then x + y = 2y","Using QF_UF with the set of integers and the implication rule, derive the following:   (declare-const x Int) (declare-const y Int) (assert (x > y)) (check-sat)",(set-of Int) (\n  (var x : Int) \n  (var y : Int) \n  ((x - y) = 2 * y) : Boolean)
"{'solver': 'QF_UB', 'reasoning': '(set-logic QF_LIA (declare-const x 0: INTEGER) (assert (>= x 1)) (check-sat))'}",(assert (>= 2 3)) (check-sat),satisfy 'SMT-LIB code here'
"Prove that if Alice and Bob are friends, then Carol is also friends with both of them.",(set-logic QF_UF)                (declare-const alice friend bob)     (assert (not (friend bob alice)))     (declare-const carol friend alicebob)     (assert (and (friend alicebob carol) (friend alice carol))),satisfy\n    (\n        \n        set_of_int n\n        \n        set_of_bool x y z\ngoingz = true;\n        go:\n            if x = 1 then\n                return (set_of_int n - 2)\n            else\n                go;\n        )
Prove that there are no friends among five people.,"To prove this, we can use QF_LIA and assert that each person is either friend with themselves or not.",set-logic QF_UF\n\ndeclare-const P1 i i\ndeclare-const P2 i i\ndeclare-const P3 i i\ndeclare-const P4 i i\ndeclare-const P5 i i\nassert (P1 = P1 \n P2 = P2 \n P3 = P3 \n P4 = P4 \n P5 = P5)\ncheck-sat
A person is either married to their spouse or in a consensual relationship with someone else.,This property can be expressed using QF_UF (Unions of First-Order) and constraints such as <person> marry <other_person>,declare-person p marry q;\ndeclare-person p marry r;\ncheck-sat
Verify that there are no social connections between all individuals in a network of 10 people with no mutual friends,"Use QF_UF to model the relationship as a graph, and then use QF_LIA to check if the graph is acyclic. If it is not, then there must be some cycle of edges, meaning that someone is connected to everyone else, which means they have mutual friends.","set-logic QF_UF\n\ndeclare-const N: int;\n declare-const M: int;\n declare-const E: list of (int, int);\n assert (for-all i j k l m \n   (E[i] = j) -> (E[k] = l))\n check-sat"
(set-logic QF_UF (declare-const x y z (integer :pred <)) (assert (not (= x 5))) (check-sat),(check-sat),\n\n\nfdef \n\n\nfun \n\n\nadd: integer -> integer \n\n\n  add i j i + j \n\n\n\nmul: integer -> integer -> integer \n\n\n  mul i j (i * j) \n\n\ngt: boolean -> boolean \n\n\n  gt i j\n\n\n\nadd 1 2; mul 3 4;\n\n\ncheck-sat)
"Prove that there exist distinct integers x, y such that x + y = 3 and x ≠ y","Using QF_UF and the constraints x + y = 3 and x ≠ y, derive a contradiction if neither x nor y is equal to zero.",\begin{QF_UF}\n  \setoforeall i\n  \exists y (i = 0)\n  \forall x (x + y = 3)\n  \neg (x = 0)\n  \endfor
Prove that a person is friends with themselves if and only if they have at least three mutual friends.,"To prove this, we can use QF_UF (Unifiable Function) and QF_LIA (Liaison Logic). First, we define a function that takes two people as input and returns True if the first person is friends with the second. Next, we define a liaison to check if one person is friends with another.",\(set-logic QF_UF\) \n\n\(declare-const (U x y : integer) (friends (x y))\) \n\n\(assert (forall (x y z : integer) ((z = x) -> (friends (x y) -> friends (y z))))\) \n\n\(check-sat)
"Prove that a person who has friends with people they know personally and strangers, but does not have acquaintances outside of their social circle, cannot be a friend to any one specific stranger.",Use QF_UF or QF_LIA with the following constraints: (set-logic QF_UF) (declare-const person1 <person1> (friend-of-person1 person2 (friend-of-person1 person3) ... (not acquaintances person4 person5))) (assert (for-all x (forall y (not friend-of-person1 y x))) (not (in-a-social-circle x))),set-logic QF_UF; set-logic QF_LIA; declare-const person1 <person1>; declare-const person2 <person2>; declare-const person3 <person3>; declare-const person4 <person4>; declare-const person5 <person5>; assert (for-all x (forall y (not friend-of-person1 y x))) (not (in-a-social-circle x)); check-sat
