problem,reasoning,program
Prove that there exists an integer x such that x^2 + x - 5 = 0,"Use QF_UF and set-logic to prove the existence of a solution, and use check-sat to find it.",smt2\nset-logic QF_UF\nassert (x^2 + x - 5 = 0)\ncheck-sat
The Five Houses,"Using set-logic QF_UF and quantifiers, prove that there exists a house on each row such that at least one of its doors is open.","\begin{pmatrix} (set-logic QF_UF \ \n     (declare-const houses \ {0,1,2,3,4}) \ \n     (assert (forall x : houses \ (x = 0) \ \n      (not (and (eqn x 1) (eqn x 2)) \ \n       (or (eqn x 1) (neq x 2)))) \ \n     (assert (forall y \ (y = houses) \ \n        (exists z : houses \ (z < y) \ \n         (not (and (eqn z 0) (eqn z 4)) \ \n          (or (eqn z 1) (neq z 2)))) \ \n     (assert (forall x y \ (x = 0) \ (y = houses) \ \n        (not (and (eqn x 0) (eqn x 4)) \ \n         (or (eqn x 1) (neq x 2)))) \ \n     (assert (forall z \ (z = houses) \ \n       (not (and (eqn z 0) (eqn z 3))) \ \n      (or (eqn z 1) (neq z 2)) \ \n     (and (eqn z 0) (eqn z 4)))) \ \n    )\ \n   \end{pmatrix}"
The Three Switches,Use QF_UF and QF_LIA to prove that there exists a number between 1 and 3 that has exactly one switch on.,set-logic QF_UF\nset-logic QF_LIA\ndeclare-const x int : 0 <= x < 3\nassert (x = 1)\ncheck-sat
The Three Switches,(set-logic QF_UF) (declare-const x true) (declare-const y false) (declare-const z true),(int x (bool z))\n\n(int x)\n(int y)\n(check-sat)
The Five Houses Problem,"To solve this problem, we need to use the QF_UF and QF_LIA SMT-LIB rules.",\(set-logic QF_UF\) \n\n\(declare-const x1 integer\) \n\(declare-const y1 integer\) \n\(declare-const z1 integer\) \n\(assert (x1 <= 2 && x1 >= 0) && y1 <= 3 && y1 >= -1) && \n(declare-const x2 integer\) \n(declare-const y2 integer\) \n(declare-const z2 integer\) \n(declare-const w2 integer\) \n(declare-const w1 integer\) \n(declare-const w0 integer\) \n(declare-const w3 integer\) \n(assert (x2 <= 1 && x2 >= 0) && y2 <= 2 && y2 >= -1) && \n(declare-const x3 integer\) \n(declare-const y3 integer\) \n(declare-const z3 integer\) \n(declare-const w4 integer\) \n(declare-const w5 integer\) \n(declare-const w6 integer\) \n(assert (x3 <= 1 && x3 >= 0) && y3 <= 2 && y3 >= -1) && \n(declare-const x4 integer\) \n(declare-const y4 integer\) \n(declare-const z4 integer\) \n(declare-const w7 integer\) \n(declare-const w8 integer\) \n(declare-const w9 integer\) \n(assert (x4 <= 1 && x4 >= 0) && y4 <= 2 && y4 >= -1) && \n(declare-const x5 integer\) \n(declare-const y5 integer\) \n(declare-const z5 integer\) \n(declare-const w10 integer\) \n(assert (x5 <= 0 && x5 >= -1) && y5 <= 3 && y5 >= -1) && \n(declare-const x6 integer\) \n(declare-const y6 integer\) \n(declare-const z6 integer\) \n(declare-const w11 integer\) \n(assert (x6 <= 0 && x6 >= -1) && y6 <= 3 && y6 >= -1))\n
"A man, a plan, a canal, Panama!",(set-logic QF_UF   (declare-const X 0 5)   (declare-const Y 5 10))(assert (>= X 1) (<= Y 4))   (check-sat),SMT-LIB program here
The Three Switches,Use QF_UF and assert statements to prove that there is a unique solution to this puzzle.,(set-logic QF_UF \n\n(declare-const x integer) \n(declare-const y integer) \n(declare-const z boolean)\nassert (z = true))
The set of integers from 1 to 10 that are divisible by both 3 and 5.,(set-logic QF_UF) (declare-const I int) (assert (<= 1 10) (check-sat),(declare-const I int)\n(assert (<= 1 10)\n(check-sat)
The Three Switches Puzzle,This puzzle requires using disjunctive clauses to prove that exactly one of the switches is on.,\(set-logic QF_UF\) \(declare-const x1 Int\) \(declare-const y1 Int\) \(declare-const z1 Int\) \(assert (disjunctive-clause 3)\) \(declare-const w1 Int\) \(declare-const v1 Int\) \(declare-const u1 Int\) \(declare-const t1 Int\) \(check-sat)
The Five Houses Problem,"To solve this puzzle, we need to find a valid assignment of integers from 1 to 5 to the five houses such that no two adjacent houses have more than one occupant.",declare-house\n  (set-of-integers)\n  (assert house1 = 1)\n  (assert house2 = 2)\n  (assert house3 = 3)\n  (assert house4 = 4)\n  (assert house5 = 5)\n  (check-sat)
The Three Switches,"Use QF_UF to represent three switches, and assert that they are either all on or none of them is on.",\n\n(\n  \n    (set-logic QF_UF)\n  \n    \n    (declare-const A1 int)\n  \n    (declare-const B1 int)\n  \n    (declare-const C1 int)\n  \n    \n    (assert (\n      (or (= A1 0) \n        (= A1 1))\n      = (\n        = C1 0) \n        = (\n          = B1 0))))\n
Solve for x: 2*x + 5 = 11,Use QF_UF to represent linear equations and solve for x.,(set-logic QF_UF\n  (declare-const x int)\n  (assert (>= 0 (min x 1)))\n  (assert (= 2 * x + 5 11))\n  (check-sat)
"A farmer has 'a' apples and 'b' bananas in his orchard. The number of apples is greater than twice the number of bananas, and both fruits must be non-negative.",The constraints are: (set-logic QF_UF) (declare-const a int > 0) (declare-const b int > 0) (assert (a > 2 * b) (check-sat),"satisfy ""SMT-LIB code here"""
"A farmer has three fields: A, B, and C. Field A can hold values 0 through 9. Field B can hold values -1 through 1. Field C can only hold the number 5.","The farmer needs to ensure that field C holds a value of either 0 or 4. If field A holds any other value, then field C must be 0. Otherwise, if field A is 5 or greater, then field B must be -1.",set-logic QF_UF\ndeclare-const A Bool;\ndeclare-const B Int;\ndeclare-const C Int;\nassert (A = 0 | A = 4)\nassert (B = -1 | B = 1)\ncheck-sat
(set-logic QF_UF   (declare-const x 9)   (declare-const y 10)   assert (>= x 0)   assert (<= y 100)   check-sat),Satisfiability isomorphism using UFL constraints and linear integer programming.,import solver\n\n  def solve():\n    return \n      # ...
Satisfy the following set of constraints on the variable x.,Use the quantifier 'for all' to generalize over all natural numbers n.,set-logic QF_UF\n\ndeclare-const x : integer\n\nassert \n  x = 0\n\ngeneralize\n  x;
A farmer has 5 sheep and 3 goats. How many animals does she have?,(set-logic QF_UF  (declare-const A int  (A = 5)  (G int  (G = 3)))  (assert < A + G > 0)),smt2-sat
The Set of Twin Primes,- Prove that there do not exist two prime numbers p and q such that pq = 2.,\set{\logic QF_UF}\\declare-const p\i32 \declare-const q\i32\assert (p * q = 2)\check-sat
A 5-person committee needs to decide on a project leader.,Use QF_UF and assert constraints like (equal (= 1 2)) or (not (equal (= 3 4))).,\n\n(\n  \n    \n      \n    \n      \n      \n    \n      \n      \n      \n      \n      \n     \n    \n   )\n
A Farmer Needs Water,"The farmer needs to water his crops with an exact amount of water, which should be a multiple of 2.",\n\n(set-logic QF_UF\n\n(declare-const W integer)\n\n(assert (<= W 0))\n\n(check-sat)
The Three Switches,Use QF_UF and QF_LIA rules to prove that it is possible to turn on all three lights simultaneously.,"(set-logic QF_UF)\n\n(integers x, y, z: 0..2)\n\n(declare-const x (true | false))\n\n(assert (not (= x true)))\n\n(check-sat)"
Solve for x: 2x + 5 = 11,Use QF_UF and set-logic (maximize) to find an optimal solution.,\n\nset-logic \n QF_UF\n\ndeclare-const x 1\n\nassert \n 2*x + 5 = 11\n
The Five Houses Problem,"To solve this problem, we need to assign numbers to each of the five houses such that each house is assigned a number between 1 and 5 (inclusive), and no two adjacent houses have the same number.",set-logic QF_UF\ndeclare-const house1 : integer > 0;\ndeclare-const house2 : integer > 0;\ndeclare-const house3 : integer > 0;\ndeclare-const house4 : integer > 0;\ndeclare-const house5 : integer > 0;\nassert (house1 = house2)\nassert (house2 = house3)\nassert (house3 = house4)\nassert (house4 = house5);\ncheck-sat
The Three Switches,"A programmer has three switches, one for each room in a house. Each switch corresponds to one of three light bulbs in a room. The programmer wants to know which switch controls which light bulb. If the programmer knows which switch controls which light bulb, but not how it was assigned, can she figure out which combination of switches controls which light bulbs?",(set-logic QF_UF)\n\n(declare-const house-house : INTEGER);\n(declare-const room-house : INTEGER);\n(declare-const switch-room : INTEGER);\n\n(assert (not (= house (switch-room house))))\n\n(check-sat)
The Three Switches,Use the rules provided by the problem to construct a valid solution.,\(set-logic QF_UF\)\n\(declare-const x true \(\n  assert (x = 3) \)\n  assert (y = 5) \(check-sat\)
The Five Houses Puzzle,"To solve this puzzle, we need to find a valid assignment of integers from 1 to 5 to the five houses such that each house is either occupied by an integer or not.",\n\n\nset-logic QF_UF\n\n\ndeclare-const house1 boolean\n\n\ndeclare-const house2 boolean\n\n\ndeclare-const house3 boolean\n\n\ndeclare-const house4 boolean\n\n\ndeclare-const house5 boolean\n\n\nassert not (house1 or house2)\n\n\nassert not (house3 or house4)\n\n\nassert not (house5 or house3)\n\n\ncheck-sat
A farmer wants to optimize his irrigation system to minimize water waste.,"To solve this problem, we can use QF_UF and QF_LIA SMT-LIB rules to check if it's possible to irrigate all fields with the given amount of water.","\begin{set-logic QF_UF\n\begin{declare-const} x1: real \n y1: real \n z1: real \\n x2: real \n y2: real \n z2: real \\n assert(x1 <= x2, 1)\n assert(y1 <= y2, 1)\n assert(z1 <= z2, 1)\n check-sat\nend{declare-const} assert(x1 = x3, 0); assert(y1 = y4, 0); assert(z1 = z5, 0);\ncheck-sat"
"Solve the following puzzle:  3 x + y = 6, 2x - y = 4.",(set-logic QF_UF) (declare-const x Int) (declare-const y Int) (assert (>= x 0) (assert (>= y 0)) (verify-sat),\n\n# SMT-LIB program in C:\\smtplib.smtlib\n
"A person is standing next to a box with an unknown weight. The box has a label that says 'Heavy' if its weight is greater than 10 kg and 'Light' otherwise. The person is holding the box, but they don't know which side it's on. What can be said about the box?","Using QF_UF, we can assert that the box is either Heavy or Light.",set-logic QF_UF\ndeclare-const W : int >;\nassert (W = 10)\ncheck-sat
"There are three switches: hot, cold and off.  You can turn on any two switches at once using one of the following operations:  1. Turn on switch A and then off switch B.  2. Turn on switch C and then off switch D.  3. Turn on switch B and then off switch D.  4. Turn on switch A and then turn on switch C.  5. Turn on switch C and then turn on switch D.","This is a classic puzzle that can be solved by applying the rules of logic, using simple Boolean constraints (AND/OR) to represent the conditions for each step.",set-logic QF_UF\n\ndeclare-const hot int true;\ndeclare-const cold int false;\ndeclare-const off int false;\nassert hot or off;\nassert not cold;
"A man, a plan, a canal, Panama!",(set-logic QF_UF   (declare-const X 0 5)   assert (<= X 0)   check-sat),SMT-LIB code here
The Five Houses Puzzle,"To solve this puzzle, we need to use QF_UF constraints to represent the relationships between the houses and their occupants.",declare-const five_houses :: int;\ndeclare-const house1 :: integer;\ndeclare-const house2 :: integer;\ndeclare-const house3 :: integer;\ndeclare-const house4 :: integer;\ndeclare-const house5 :: integer;\nassert (house1 >= 0 && house1 <= 5)\nassert (house2 >= 0 && house2 <= 5)\nassert (house3 >= 0 && house3 <= 5)\nassert (house4 >= 0 && house4 <= 5)\nassert (house5 >= 0 && house5 <= 5);\ncheck-sat
The Three Switches,Use QF_UF to create a function symbol and apply it to three variables in a predicate.,(set-logic QF_UF\n  (declare-const x 1\n   (declare-const y 2\n    (declare-const z 3))\n  (assert (\n    (forall (x y z)\n      (= x 0) \n    (forall (x y z)\n      (= y 0) \n    (forall (x y z)\n      (= z 0))))))
Satisfy the following statement,Use the QF_UF and QF_LIA rules to generate a model that satisfies this statement.,set-logic QF_UF\n\ndeclare-const x : bool;\ndeclare-const y : int;\nassert x = true;\nassert y > 0;\ncheck-sat
Satisfying a linear equation with two variables,Use QF_UF to ensure equality and QF_LIA to allow variable combination.,\[\sout{(x + y = 5) \n(2x - 3y = 1)}\] SMT-LIB code
Find integers x such that x^2 + 1 = x+3,This equation can be solved using QF_UF with the following constraints: (set-logic QF_UF) and (declare-const x integer),satisfy (assert x > -10) #<--- new constraint to check negativity
Prove that there exists an integer x such that x^2 + 4x - 7 = 0 and x is even,"To prove this, we can use the QF_UF rules to find a model for the equation x^2 + 4x - 7 = 0. We can then analyze the models to determine which ones satisfy the condition that x is even.",quantifier all\n\n\nset-logic QF_UF\n\ndeclare-const x : integer\n\nassert (x^2 + 4x - 7) = 0\n\ncheck-sat
The Three Switches,Use QF_UF to prove that there is exactly one way to route a train through three switches.,(set-logic QF_UF\n  (declare-const switch1 int\n   switch2 int\n   switch3 int)\n  (assert (not (switch1 = 0))\n   (assert (switch2 = 0))\n   (assert (switch3 = 0)))\n  (check-sat)
A cat and a mouse are in two different rooms.,They must be present in their respective rooms.,(set-logic QF_UF\n  (declare-const ROOM1 int\n    (x : integer)\n  (y : integer)\n  (z : integer))\n  (declare-const ROOM2 int\n    (x : integer)\n    (y : integer)\n    (z : integer))\n  (assert (and (room1 = x) (not (room2 = x)))\n       (room1 = y) (not (room2 = y)))\n  (assert (and (room1 = z) (not (room2 = z)))\n       (room1 = y) (not (room2 = y)))\n  (check-sat)
(set-logic QF_UF (declare-const x 1 x < 5) (declare-const y 2 y = x + 3) assert (>= y 4),"To prove that the assertion is true, we can use a model with x >= 0 and y > 0.",α\n\ndefine model /\n  \nx : int;\ny : int;\n  \nx <= 5;\ny = x + 3;\n  \ny > 0;\n  \n  assert (x >= 0 && y > 0);
(set-logic QF_UF) (declare-const x 1) (assert (not (= x 0))) (check-sat),"To prove that x is not equal to 0, we can use the property of equality that if a = b then ¬a = ¬b.",SMT-LIB code here
(set-logic QF_UF  define-const X 0  assert (<= X 5)  check-sat,This puzzle requires the solver to find a value for X such that it is less than or equal to 5.,(set-logic QF_UF\n\ndefine-const X 0\n\nassert (<= X 5)\n\ncheck-sat)
A farmer has a field that is 100 meters long and 50 meters wide. The field must be fenced in by a fence that is at least 2 meters high on all sides.,The farmer can use the following constraints to solve this problem:  - (declare-const field-width 50 :integer) - (declare-const field-length 100 :integer) - (assert (>= (add (multiply field-width 2) (add field-length 2)) (add field-width 2))),set-logic QF_UF\nset-logic quantifier\nint\nfence-field :field-width 50 :field-length 100 :height 2\ncheck-sat
The set-builder logic asserts that there exists an integer x such that x^2 + 4x - 3 = 0.,"\n\nThe given equation can be solved using the quadratic formula: x = (-b ± sqrt(b^2 - 4ac)) / 2a. In this case, a=1, b=4, and c=-3. \nThe solution to the equation is x = (-(4) ± sqrt((4)^2 - 4*1*(-3))) / (2*1), which simplifies to x = (-4 ± sqrt(16 + 12)) / 2, or x = (-4 ± sqrt(28)) / 2. Since sqrt(28) is not a perfect square, there are two solutions: x = (-4 + sqrt(28)) / 2 and x = (-4 - sqrt(28)) / 2. \nThe set-builder logic asserts that exactly one of these two solutions exists.",\n
The Five Houses Problem,Use set-logic QF_UF and declare variables for each house number.  (declare-const house1-number 1) (declare-const house2-number 2) (declare-const house3-number 3) (declare-const house4-number 4) (declare-const house5-number 5),"\s*(set-logic\s+ QF_UF\s+)\s*\((declare-const\s+ [a-b-c-d-e]\s*\:\s*house1-number\s*,\s*house2-number\s*,\s*house3-number\s*,\s*house4-number\s*,\s*house5-number\s*)\s*\((assert\s*(\s*not\s*\(\s*equivalent\s*\(\s*not\s*\(\s*[a-b-c-d-e]\s*\)\s*,\s*house1-number\s*,\s*house2-number\s*,\s*house3-number\s*,\s*house4-number\s*,\s*house5-number\s*)\s*|\s*equivalent\s*(\s*not\s*\(\s*not\s*\(\s*[a-b-c-d-e]\s*\)\s*,\s*house1-number\s*,\s*house2-number\s*,\s*house3-number\s*,\s*house4-number\s*,\s*house5-number\s*)\s*,\s*check-sat\s*)\s*\)"
"Find an infinite set {x: [0, 1]}.",This problem can be solved using QF_UF.,"declare-const x : bool;\nassert (set-of x [0, 1]);\ncheck-sat;"
The Five Switches,"Use the set-logic QF_UF and set-logic LIA constraints to prove that there exists an assignment of integers 0 through 4 to four switches such that the following conditions are met: two switches are green, one is red, and the remaining two are yellow.",set-logic QF_UF\nset-logic LIA\n(declare-const X:bool)\n(assert (X = false)\n(X = true)\n(X = false)\n(X = true)\n(X = false)\n(X = true)\n(X = false))\n(check-sat)
Prove that there exists an integer x such that x^2 + 4 = 13,Use QF_UF and set-logic to derive the desired formula.,\(set-logic QF_UF\)\n\(declare-const x int\)\n\(assert (x^2 + 4 = 13)\)
(set-logic QF_UF  (declare-const x 1)  (declare-const y 2),This problem is a simple example of using set-logic QF_UF to reason about the satisfiability of a given formula.,(require \n (qf uf)\n (sat))
A farmer wants to ensure that all cows are wearing collars of a certain color.,"The farmer has ordered 100 cows, each with one collar. The collar can be either red or blue. Use QF_UF and QF_LIA constraints to prove that there is an assignment of colors to the collars such that all 100 cows are wearing their assigned colors.","set-logic QF_UF\ndeclare-const cow: int;\ndeclare-const collar: bool;\nassert cow = 1:\n  \n  assert collar(cow, true):\n    \n    assert collar(cow, false):\n      \n      check-sat"
The Flipped Coins,Use QF_UF with a set of variables and constraints to prove that it's impossible to flip all coins such that one side always shows the opposite number.,(set-logic QF_UF\n\ndefault solver\n	declare-const n 1;\n	declare-const x 0 1;\n	assert (x = ~n)\n	check-sat)
The Three Switches,Prove that there exists an integer x such that exactly three switches are open.,set-logic QF_UF\n\ndeclare-const x : int;\nassert (x = 0)\nassert (x = 1)\nassert (x = 2)\ncheck-sat
The Three Switches,Use QF_UF to prove that exactly one of three boolean variables can be false at any given time.,"\nset-logic QF_UF\n\nassert (var x)\nassert (var y)\nassert (var z):\n    \n    conj (\n        \n        disj (x = true) (y = false),\n        \n        disj (x = false) (y = true),\n        \n        disj (x = true) (z = false),\n        \n        disj (x = false) (z = true)\n    )"
The Three Switches,Prove that it is impossible to assign colors to three switches such that each switch corresponds to one of three colors and the corresponding color switch is red.,\setlogic QF_UF\declare-const r1 bool\declare-const g1 bool\declare-const b1 bool\assert (r1 == false && g1 == true && b1 == false)\check-sat
\(\{\n  x: \n    # Introduce a variable and constraint\n    assert(x > 0);\n  y: \n    # Introduce another variable and constraint\n    assert(y < x);\n  z: \n    # Use SMT-LIB to prove the variables are equal\n  (set-logic QF_UF \n    (declare-const x : int) \n    (declare-const y : int) \n    (declare-const z : bool))\n  \n  assert(z);\n  \n  (check-sat),"\(\{\n  # We use the fact that x > 0 and x + y = z to prove x == z\n  assert(x + y = z + x);\n  \n  # Since z is True, we can deduce x == z\n  assert(x == z);\n  \n  \n  # Use the assumption that x < 0 and x - y = z to prove x != z\n  assert(x > 0 && x - y = z);\n  \n  # Since z is False, we can deduce x != z\n  assert(x != z);\n  \n  \n  \n  (check-sat)","\(\{\n  # Import the SMT-LIB library\n  (require ""smtlib"")\n  \n  \n  # Define a set of constraints using QF_UF\n  (set-logic QF_UF)\n  \n  \n  # Define two variables and two constraints\n  (declare-const x : int) \n  (declare-const y : int) \n  (declare-const z : bool)\n  \n  \n  # Assert that the variables are non-negative\n  assert(x > 0);\n  \n  \n  # Assert that one variable is less than another\n  assert(y < x);\n  \n  \n  # Use SMT-LIB to prove that the variables are equal\n  (set-logic QF_UF \n    (declare-const x : int) \n    (declare-const y : int) \n    (declare-const z : bool))\n  \n  \n  # Assert that the third variable is true\n  assert(z);\n  \n  \n  # Check if the model is satisfiable\n  (check-sat)"
"A prisoner needs to escape from a cell with multiple locks, each of which has two possible keys: the correct key or the wrong key. The guards enter a room and check one lock at a time in order.","To solve this problem using QF_UF, we need to model the guards' behavior as a set of rules that specify when they should consider each lock as the correct key. We can use (set-logic QF_UF) to define this logic, and then add rules for checking each lock's key.",set-logic QF_UF\nassert (\n    (lock1 : (correct_key ? x) ? wrong_key ? y)\n    (lock2 : (correct_key ? z) ? wrong_key ? w)\n)\ndeclare-const correct_keys : bool.\nassert (not (correct_keys))\ncheck-sat
A woman has two coins that weigh differently. One coin weighs 1 kg and the other weighs 0.9 kg. How much does the lighter one weigh?,Use set-logic QF_UF and assert   (weigh < 1kg)  and (not (weigh = 0.9kg)),set-logic QF_UF\ndeclare-const kg1 : bool;\ndeclare-const kg2 : bool;\nassert (kg1 <= kg2)\n(weigh < kg1)\n(weigh > kg2)
Prove that there exists an integer x such that x^2 + 1 = 0 and x is not odd,"To prove this statement, we can use the QF_UF rule to generate a set of solutions for the equation x^2 + 1 = 0. We then check if any of these solutions are integers that satisfy the condition x is not odd.",set-logic QF_UF\ndeclare-const x : int\nassert (x^2 + 1 = 0)\ncheck-sat
"A farmer has two fields, A and B. Field A has 5 apples, and field B has 3 oranges. The farmer wants to know if there are any common fruits between the two fields.",The farmer can find the intersection of sets containing apples and oranges in both fields.,\n\n(set-logic QF_UF\n  \n  (set-var x : nat)\n  (declare-const A : set-of nat)\n  (declare-const B : set-of nat)\n  (assert (forall (a : nat) (forall (o : nat)) (\n    (and (in-sets a A) (in-sets b B) \n     (or (= a o) (= o a)))\n    \n    (in-set x a))\n  ))\n
"A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If the ball costs x dollars, how much does the bat cost?",Let b = number of cents in the ball. Then the equation is (100 - b) + b = 110. Solve for b.,"\smallsetofinputstitutions(\n  \n    setoflogicbutterfly(QF_UF, \n        declareconst( \n            BatCost: integer, \n            BallCost: integer, \n            \n        ), \n        \n        assert(BatCost > BallCost, \n           true), \n        \n        declareconst( \n            x:integer, \n            \n        ), \n        \n        assert(x * 100 = BatCost + BallCost, \n           true), \n        \n        check-sat)"
Satisfying the union of two sets with distinct elements,"Use QF_UF and set-builder constraints to model the union of two sets A = {1, 2} and B = {3, 4}. The constraint (set-logic QF_UF) ensures that each element in both sets is present. The constraint (declare-const x : setof int) defines a set of integers containing all elements from both sets. Finally, the constraint (assert all of A | B) asserts that any element in either set is present.",satisfy '(set-logic QF_UF\n  (declare-const x : setof int)\n  (assert all of (union of (setof int) (setof int))))
"A farmer has two fields, A and B. Field A is 3 units long, while field B is only 2 units long. The farmer wants to know if there are enough spaces on both fields.",The problem can be solved using the QF_UF rule with a conjunction of constraints representing the length of each field and its relationship with the number of rows.,declare-const A : int; declare-const B : int; (\nA > 0\nB < 3\nA + B >= 5)\ncheck-sat
Satisfying a set of rules on the number of apples,Use QF_UF to generate constraints for the number of apples in each basket and then solve using check-sat.,"set-logic QF_UF\ndeclare-const total_apples = int;\nassert less-than-or-equal-to(total_apples, 5);\nassert greater-than-or-equal-to(0, total_apples);"
