problem,reasoning,program,error
Scheduling Problem,Check if this scheduling problem is solvable in practice.,"model (set-logic QF_UF ; declare-variable x 1 ; declare-variable y 2 ; assert less(x,y) <= 10 ; check-sat)",Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying a scheduling problem,"{'approach': 'brute-force', 'search': 'depth-first'}",declare-variable x int; declare-variable y bool;\nset-logic QF_UF\nassert y = true;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
\(declare-const x 0: Int\); (set-logic QF_UF)\n(declare-const y 1: Boolean; (assert \(x = true; \))\n(check-sat),Using the properties of equality and union to derive new constraints,scheduling.smtlib,Program too short
Scheduling Problem,Use QF_LIA and set-logic QF_UF to generate constraints.,scheduling_model.msp,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling problem to minimize make times and meet deadlines,Use QF_UF and QF_LIA rules to analyze constraints on machine times and resource utilization.,declare-const machine-times (set-logic QF_UF)\n\nassert \n  (machine-time < 0)\n  (machine-time > 0)\n  (resource-utilization = true),Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA to enforce valid scheduling rules,scheduling_problem.smtlib,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"Given a set of tasks with start and finish times, determine the optimal scheduling order to minimize total wait time.",(set-logic QF_UF\n (declare-const T1 int)\n (declare-const T2 int)\n (declare-const T3 int)\n (declare-const T4 int)\n (assert (>= T1 0))\n (assert (<= T2 T1)\n (assert (>= T3 0))\n (assert (<= T4 T2 + T3)))\n (check-sat),Unbalanced parentheses
Scheduling Problem,Use QF_UF and QF_LIA to model the scheduling of tasks on a shared resource.,declare-const \n  task0 : task;\n  task1 : task;\n  shared_resource : resource;\n\nassert \n  \n  (set-logic QF_UF)\n  (set-logic QF_LIA)\n\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA SMT-LIB rules to derive a valid scheduling plan.,int x[]; (set-logic QF_UF)\n\ndeclare-const y int; (assert z >= 0)\n\ndeclare-const w int;\n\n(check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA rules to generate valid constraints,"\n(\n  \nfloor(\n    \nbounds: int, \n    \nbounds: int \n  )\n(\n    \ndomain: \n      \n      \nbounds: bool \n  )\n(\n    \n    \ncoordinates: \n      \ndomain: \n        \n          \nbounds: bool \n  )\n(\n    \ndeclarations: \n      \nfloor, \nbounds, \ncoordinates \n  )\n(\n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n\n(\n  \ndemand: \nfloor + floor * \nbounds + ncoordinated * \nbounds \n  )\n(\n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n  )\n(\n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n  )\n(\n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n    \n  )\n",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Minimize Latency,Use QF_LIA and set-logic QF_UF to ensure validity and correctness.,set-logic QF_UF \n\ndeclare-const INF  : int  0;\n\nassert \n  INF = 0;,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Find an assignment that satisfies all constraints,"Using QF_UF and QF_LIA, derive valid integer constraints to satisfy the scheduling problem.",(set-logic QF_UF\n  (declare-const X0 int)\n  (assert (<= X0 5)\n    (set-variable X0 1)\n    (set-variable Y0 1)\n  ))\n  (set-logic QF_LIA\n   (declare-const Z0 bool)\n   (assert (Z0 <= true)\n    (set-constraint Z0 Z0)\n  )),Multiple set-logic declarations (2)
Scheduling Problem: Maximum Number of Tasks with No Overlapping Constraints,Use QF_UF and QF_LIA rules to model task constraints and find the optimal schedule.,\n\n\n(\n  \n    (set-logic QF_UF)\n  \n  (declare-const TASK_ID int)\n  (declare-const END_TIME int)\n\n  \n  (assert (<= TASK_ID 5))\n  (assert (>= END_TIME 0))\n  (assert (not (or (>= END_TIME TASK_ID) (>= TASK_ID END_TIME)))\n  \n  (check-sat),Unbalanced parentheses
Scheduling Problem,Use QF_LIA to reason about scheduling constraints.,\n\n\n%declare-const \n\n	x \n\n\n%assert \n\n	\n	(x > 0) && (y > 0);\n\n\n%check-sat;\n,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Maximize the number of customers served while minimizing idle time,"Use QF_UF and QF_LIA rules to model the scheduling problem, including constraints on customer arrival and departure times, as well as idle time.",declare-const	max_customers : integer;\ndeclare-const	min_idle_time : real;\nassert\ntime_of_arrival(arrival_time : timestamp) >= 0;\nassert\ntime_of_arrival(arrival_time : timestamp) <= min_idle_time + max_customers * 60;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Find an optimal assignment of jobs to machines in a factory,"Use QF_UF and QF_LIA rules to solve this scheduling problem, ensuring that all constraints are satisfied exactly.","declare-const N : int; declare-const J : int list; declare-const M : int list; assert (N = 5); for (J from 1 to N) { let i : int; for (M from 1 to N) { set (i, min (j, M)); }; assert (all (min (J, i) <= j for all i in M)); } check-sat;",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"Given two tasks with deadlines d1 and d2, find the earliest possible completion time T such that both tasks are completed within their deadlines.",(set-logic QF_UF\n  (declare-const t1 int\n   >= 0)\n  (declare-const t2 int\n   >= 0)\n  (assert (t1 + t2 = d1 + d2))\n  (check-sat),Unbalanced parentheses
Scheduling Problem,Use QF_UF and QF_LIA rules to solve the scheduling problem.,\nset-logic QF_UF\n\nset-logic QF_LIA\n\ndeclare-const x : bool\n\nassert z >= 2 && z <= 5\n\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF  (declare-const x int)  (declare-const y int)  (assert (>= x 0)    (<= y 10) ),This is a problem that will be solved using SMT-LIB.,\u{0009}\u{0010}\u{0024}\u{0074}SMT-LIB code here,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Formally specify scheduling constraints using QF_UF and QF_LIA.,int x;\nset-logic QF_UF;\ndeclare-const max_capacity: int >= 0;\nassert max_capacity <= x;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying the parity of three signals in a 3D system,Use QF_UF with equality constraints and set-logic QF_LIA to enforce non-increasing order.,declare-variable(x 0)\ndeclare-variable(y 1)\ndeclare-variable(z 2);\nassert( x >= y && y <= z );\n\nset-logic QF_UF;\nassert( (x == y) || (y == z) )\n\nset-logic QF_LIA;\nassert( (x != 0 || y != 1) && (x != 2 || y != 3) );,Missing required SMT-LIB components (declare-const/fun and assert)
"Satisfy the following scheduling constraint: Minimize make_time(1, 2) + make_time(3, 4)","Use QF_UF and QF_LIA constraints to ensure that make_time(1, 2) <= make_time(3, 4).",set-logic QF_UF\nset-logic QF_LIA\ndeclare-const make_time_1: int\ndeclare-const make_time_2: int\nassert (make_time_1 <= make_time_2),Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA to prove the satisfiability of the scheduling problem.,set-logic (qf uf);\ndeclare-const x1 : int; declare-const y1 : bool;\nassert z1 <= x1;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA clauses to model the scheduling of tasks on a single processor.,(set-logic QF_UF)\n(define-unfactored-unit (task1 task2))\n(assert (not (equal (sum-of-sizes task1) 0)))\n(check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying a scheduling conflict on multiple servers,"Using QF_UF and QF_LIA to ensure tight coupling between tasks and servers, while respecting resource constraints.",\n\n\n# SMT-LIB code here,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Resource Allocation,Use QF_UF and QF_LIA constraints to model resource allocation in a scheduling problem.,set-logic QF_UF\ndeclare-const r1 <integer>\ndeclare-const r2 <integer>\nassert s1 <= s2:\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF to define sets of variables and use QF_LIA to check consistency.,\( \( \set-logic QF_UF \) \| \( \set-logic QF_LIA \) \) \( \declare-const x : int \( \declare-const y : bool \( \assert (x > 0 \( \forall z : int \( \exists w : bool \( \forall v : int \( \forall u : bool \( \forall t : int \( \forall s : int \( \forall p : int \( \forall q : int \( \forall r : int \( \forall o : int \( \forall n : int \( \forall m : int \( \forall k : int \( \forall l : int \( \forall i : int \( \forall j : int \( \forall h : int \( \forall g : int \( \forall f : bool \( \forall e : int \( \forall d : int \( \forall c : int \( \forall b : int \( \forall a : bool \( \forall y : bool \( \forall x : bool \) \( \check-sat \)) \) \),Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Maximize Productivity with Limited Time,This problem can be solved using QF_UF and QF_LIA constraints to ensure that the production of products does not exceed the available time.,declare-const TIME-hours : int; declare-const PRODUCT-products : int; declare-const WORK-HOURS-hours : int; assert (not (TIME-hours > 0)); check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"{'constraints': ['(set-logic QF_UF)', '(declare-const X 1)', '(declare-const Y 2)', '(assert (<= X 10))'], 'clauses': ['(check-sat)']}",scheduling_problems.mps,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling problem with no conflicts,Use QF_LIA to model this scheduling problem without conflicts.,(set-logic QF_UF)\n  (declare-const x  Int)\n  assert (<= 0 x),Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA constraints to model a simple scheduling problem.,\((set-logic QF_UF \n\n(declare-const X integer) \n(declare-const Y boolean)) \n(declare-const Z integer \n(declare-const A boolean) \n(assert (<= X 5) \n(<= Y 3) \n(check-sat)) \n),Unbalanced parentheses
Scheduling Problem,This problem uses QF_UF and QF_LIA formulas to model a real-time system.,set-logic QF_UF;\nset-logic QF_LIA;\ndeclare-const clock : nat;\ndeclare-const deadline : nat;\nassert (clock <= deadline);\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"Use QF_UF and check-sat to prove the validity of the program, which asserts that there exists an integer solution to the scheduling problem.",\begin{qfUF}\n  \setoflogic(QF_UF)\n  \declare-const x:integer\n  \assert (1 <= x)\n  \check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"{'constraint_type': 'integer_lower_bound', 'variables': ['x', 'y'], 'constraints': ['(set-logic QF_UF)', '(declare-const x int)', '(declare-const y int)', '(assert (>= x 0))', '(assert (<= y 10))']}",\u03b7\u0301f5{\u000c}\u0014\u01d9\u02a0i\u0038\u0018\u0044\u00ba\u002a\u0026i\u005b\u005d\u006e2f\u0070\u0065\u006c\u005d\u0001\u01d9\u002a\u002c\u0018i\u005b\u005d,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Integer Constraints,declare const INF 10; declare const MAX 100; assert INF >= 0 && INF <= MAX;,Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying the following linear programming relaxation of the 8-hour workday problem with additional constraints,"Using QF_UF and QF_LIA, derive the solution to a system of linear equations representing the 8-hour workday problem, where employees are only allowed to work up to 40 hours per week.",\u5f20\u6b22\u751f\u533a\u5e02\u4eba\u65e0\u516c: \x3ad\u8fd\u7ed9\u6771\u98df\u63d0\u5e74\u5bd6\u7684\u8fdd\u516c,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA rules to prove validity,scheduling_problem.smtlib,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Two Processors with Limited Resources,Use QF_UF and QF_LIA rules to prove that at least one processor must be idle after processing two tasks of equal size.,\n\n\n(\n  \n    (set-logic QF_UF)\n  \n  (declare-const \n    x : integer)\n  \n  (assert (<= x 2))\n  \n  (set-logic QF_LIA)\n  \n  (declare-const y : integer)\n  \n  (assert (<= y 2))\n  \n  (declare-const z : integer)\n  \n  (assert (>= x + y <= 4))\n  \n  (check-sat),Unbalanced parentheses; Multiple set-logic declarations (2)
Scheduling Problem: Maximize Customer Satisfaction,Use QF_UF or QF_LIA to generate a valid model and check its satisfiability.,\begin{QF_UF}(\setlogic QF_UF\n\n\n\nassert \n\n\n\ncheck-sat)\n\end{QF_UF},Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Formulate a valid schedule that satisfies all constraints and meets the deadline.,use QF_LIA;\n\nset-logic QF_UF;\n\ndeclare const x : int; \n\ndeclare const y : bool;\n\nassert z = true;\n\ncheck-sat;,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"{'type': 'clausal', 'constraints': ['(set-logic QF_UF)', '(declare-const x Int)', '(declare-const y Bool)', '(assert (not (= x 0)))']}",int: int[1..10]; bool: bool[1..2]; - x; - y,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA rules to model this scheduling problem.,declare const x = integer; declare constant y = boolean;\n\nset-logic QF_UF;\nassert x <= 10;\nassert y <= 5;\ncheck-sat;,Missing required SMT-LIB components (declare-const/fun and assert)
Find all valid solutions to the following system of linear equations with two variables.,Use QF_LIA and integer constraints to solve this system.,declare-const x : int; declare-const y : int;\nassert x + y = 1;\nassert x > 0 && y > 0;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA rules to ensure valid constraints.,int x; var y: bool; (set-logic QF_UF) assert (x > 0); (declare-const x Int) assert (y = true); (check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
"scheduling: maximize {x, y} where x is the number of customers served in the first hour and y is the number of customers served in the last hour",The goal is to maximize the total number of customers served within a fixed time frame. This can be achieved by prioritizing customers based on their arrival times.,declare-const X < natural >; declare-const Y < natural >; (set-logic QF_UF) assert (x >= 0); assert (y >= 0); (assert (X <= x + y)); (check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA constraints to model a scheduling problem.,declare variable x #0\ndeclare variable y #1\ndeclare constraint z > 0\nassert x + y >= z\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"To solve the scheduling problem, we need to find an assignment of tasks to machines that satisfies all constraints.","\n\n\nset-logic QF_UF\n\n\ndeclare-const \n  machine1 : integer > 0 \n  machine2 : integer > 0 \n  task1 : string\n\n\nassert \n  (\n  set-of-machine-set (machine1) \n  machine2) = {1, 2}\n\n\ncheck-sat",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Find the optimal assignment of tasks to machines,"Use QF_UF and QF_LIA constraints to enforce valid scheduling rules, and check for satisfiability using QBF or DPLL-SAT.",int var (x y z) [QF_UF | QF_LIA] : x + y <= z; -x - y > 0; x >= 1; y >= 1; z >= 1,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF or QF_LIA to represent the scheduling problem as a logic formula,int x\n( set-logic QF_UF \n  assert ( <x> = 5 )\n  check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF with a valid set of logical constraints to model this scheduling problem.,(set-logic QF_UF\n (declare-const X : INT \n  x = 0)\n (declare-const Y : INT \n  y = 1)\n (assert (>= X Y)\n (assert (<= X 10))\n (check-sat)),Unbalanced parentheses
Scheduling Problem,Use QF_UF and QF_LIA solvers to reason about valid schedules.,\n\n( \n   set-logic QF_UF \n   \n  \n   declare-const \n     MAX_CAPACITY : INTEGER > 0 \n\n( \n   assert \n     ( \n       min-variables \n       ( \n         capacity = MAX_CAPACITY \n         capacity * (x + y) = capacity \n         x = true \n         y = false \n       ) \n\n     \n     \n   ) \n\n( \n   check-sat \n),Missing required SMT-LIB components (declare-const/fun and assert)
Satisfy the following scheduling constraint using QF_UF and basic arithmetic constraints.,Use the following set of rules to derive the solution: (set-logic QF_UF) (declare-const X < 10) (assert X > 0) (check-sat),"\u0001#off\n\u0002(int X: int \u002e {0,10})\n\u0003(bool Y: bool \u002e (X == 5))\n\u0004(int Z: int \u002e 0)\n\u0005(int A: int \u002e 5)",Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying a scheduling constraint with multiple tasks and dependencies,Use QF_UF or QF_LIA to specify valid constraints on the variables,\n\n\n(\n  (set-logic QF_UF) \n  (declare-const T1 int) \n  (declare-const T2 bool) \n  (assert (not (T1 = 0))) \n  (check-sat),Unbalanced parentheses
Scheduling Problem: Two Processors with Limited Resources,Use QF_UF and QF_LIA constraints to model the scheduling of two processes with different resource requirements on both processors.,\((set-logic QF_UF \n\n(declare-const X : Integer \n  1000 \n  Y : Integer \n  500)) \n\n(declare-const P1 : Integer \n  800 \n  P2 : Integer \n  1200) \n\n(declare-const Q1 : Boolean \n  true) \n\n(assert (check-sat)),Unbalanced parentheses
Scheduling Problem,Use QF_UF and QF_LIA constraints to ensure fairness in resource allocation.,\begin{qf uf}\n  \setof (declare-const x 0 : integer)\n  \setof (declare-const y 1 : integer)\n  \assert (x > 0)\n  \check-sat\n\end{qf},Missing required SMT-LIB components (declare-const/fun and assert)
"Given a set of jobs with deadlines and resource requirements, determine the optimal assignment of jobs to machines without violating any deadlines or resource constraints.",Use QF_UF and QF_LIA rules to model this scheduling problem as an optimization problem that can be solved using SMT-LIB. Include assertions for machine availability and job deadlines.,"# Define the set of jobs with their deadlines and resource requirements.\n\ndeclare-const job1: (\n    # Deadline in days\n    deadline1 = 3\n    # Resource required (in machines)\n    resources1 = [R1, R2]\n\ndeclare-const job2: (\n    # Deadline in days\n    deadline2 = 5\n    # Resource required (in machines)\n    resources2 = [R1, R3]\n)\n\n# Define the set of machines with their availability.\n\ndeclare-const machine1: (\n    # Availability (true if available, false otherwise)\n    availability1 = true\n\ndeclare-const machine2: (\n    # Availability (true if available, false otherwise)\n    availability2 = false\n)\n\n# Define the constraints for job assignment.\n\nassert job1.resources1 > 0:\n    \n    \n    # Ensure job 1 has at least one resource.\n    \n    \n    # Otherwise, raise an error.\n    \n    \n    \n    false\n\nassert job2.resources2 > 0:\n    \n    \n    # Ensure job 2 has at least one resource.\n    \n    \n    # Otherwise, raise an error.\n    \n    \n    \n    false",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem: Minimize Makespan,"Given a set of tasks with start times and durations, find the order that minimizes the total makespan.",# SMT-LIB Code\n # Define variables for task start times and durations\n declare-const \n  t1 : integer;\n  t2 : integer;\n  t3 : integer;\n  d1 : real;\n  d2 : real;\n  d3 : real;\n  s1 : bool;\n  s2 : bool;\n  s3 : bool;,Missing required SMT-LIB components (declare-const/fun and assert)
scheduling_problem,derive_satisfiability_from_just_the_constraints,intervals \n\ncolors \n\ndates,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"(set-logic QF_UF)  define-variables   x: integer   y: boolean,   z: real  (assert (not (= x 0))) (assert (not (= y true))) (assert (= z 1.5))",SMT-LIB code here,Program too short
Scheduling Problem: Find the minimum number of machines required to schedule tasks with maximum utilization,This problem can be solved using First-Order Logic (FOL) constraints in SMT-LIB. The goal is to find the optimal scheduling configuration that maximizes machine utilization.,\[\sout{set-logic QF_UF}\n\sout{declare-const machines int}\n\sout{declare-const tasks int}\n\sout{declare-const max-utilization int}\n\sout{declare-const utilization float}\n\sout{assert (max-utilization <= 1)}\n\sout{check-sat}\n#endif,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,"{'type': 'Propositional Reasoning', 'reason': 'Using QF_UF with integer constraints and checking satisfiability'}",declare-interval (int a : [0..10])\n\nset-logic QF_UF\n\nassert (a = 5)\n\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
scheduling,Use QF_UF with set of variables and universal quantification to model a scheduling problem where tasks have start and end times.,"\begin{qfelisp}\define-const T (task {name, start_time, end_time}) \assert (forall x : T) (start_time <= end_time)",Missing required SMT-LIB components (declare-const/fun and assert)
Generate an exact solution for the following linear programming relaxation of the 5-hour delivery problem,"Use QF_UF and QF_LIA constraints to model integer variables representing hours worked by drivers, and use assert statements to enforce non-negativity.","\(set-logic QF_UF\) \(declare-const \(x_1: bool \, \(x_2: int \))\) \(assert (x_1 <= x_2)",Unbalanced parentheses
\(set-logic QF_UF \n\n(declare-const X true \n  \n  (assert Y = 1) \n  (assert Z < 5))\n,This is a valid SMT-LIB program that includes the necessary logic for model checking and satisfiability.,\(set-logic QF_UF \n\n(declare-const X true \n  \n  (assert Y = 1) \n  (assert Z < 5)),Unbalanced parentheses
Scheduling Problem: Find optimal assignment of tasks to machines,"Use QF_UF and QF_LIA solvers with simple constraints, e.g., (set-logic QF_UF)   (declare-const machine <1..4>   (declare-const task <1..5>))   (assert (>= 0 (size of task)))",satisfyprop2 --intps 10 --dsat-solver qubo-poly,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF and QF_LIA rules to prove that it is NP-complete.,\begin{code}\n\n\n(\n  set-logic (qfnf)|\n  declare-const \n    x : integer;\n  assert (x = 0);\n  check-sat \n)\n\n(\n  set-logic (qlia)|\n  declare-const \n    y : boolean;\n  assert (y = true);\n  check-sat \n)\n\n,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF or QF_LIA to enforce valid scheduling constraints,declare-datatypes ((X:1|X:2));\n declare-const X.x <:= X.y | X.y <:= X.z;\n assert(xz);,Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF or QF_LIA to model the scheduling problem,"\begin{qf uf}\n  \setoforeasoning(declare-const \(clock: i32) \(duration: i64)\n  \assert( duration >= 0 )\n  \declare-const \(start_time: i32, \(end_time: i32)\n  \check-sat\n  \end{qf uf}",Missing required SMT-LIB components (declare-const/fun and assert)
Scheduling Problem,Use QF_UF to model the scheduling of tasks with deadlines and resource constraints.,\s*# SMT-LIB code here\n\ndeclare-const task1 : int;\ndeclare-const deadline1 : int;\ndeclare-const task2 : int;\ndeclare-const deadline2 : int;\nmixin QF_UF;\nassert (task1 <= deadline1) && (task2 >= 0);\ncheck-sat;,Missing required SMT-LIB components (declare-const/fun and assert)
